timestamp,message,logStreamName
1636484187640,"START RequestId: d221e61e-6f50-4d30-b3a2-c148b9f2c53e Version: $LATEST
",2021/11/09/[$LATEST]898240aea3fb4a35a5a51c994f6a3d7f
1636484187916,"END RequestId: d221e61e-6f50-4d30-b3a2-c148b9f2c53e
",2021/11/09/[$LATEST]898240aea3fb4a35a5a51c994f6a3d7f
1636484187917,"REPORT RequestId: d221e61e-6f50-4d30-b3a2-c148b9f2c53e	Duration: 275.61 ms	Billed Duration: 276 ms	Memory Size: 128 MB	Max Memory Used: 69 MB	Init Duration: 341.63 ms	
",2021/11/09/[$LATEST]898240aea3fb4a35a5a51c994f6a3d7f
1636485410405,"2021-11-09T19:16:50.404Z	undefined	ERROR	Uncaught Exception 	{""errorType"":""ReferenceError"",""errorMessage"":""event is not defined"",""stack"":[""ReferenceError: event is not defined"",""    at Object.<anonymous> (/var/task/index.js:4:1)"",""    at Module._compile (internal/modules/cjs/loader.js:1072:14)"",""    at Object.Module._extensions..js (internal/modules/cjs/loader.js:1101:10)"",""    at Module.load (internal/modules/cjs/loader.js:937:32)"",""    at Function.Module._load (internal/modules/cjs/loader.js:778:12)"",""    at Module.require (internal/modules/cjs/loader.js:961:19)"",""    at require (internal/modules/cjs/helpers.js:92:18)"",""    at _tryRequire (/var/runtime/UserFunction.js:75:12)"",""    at _loadUserApp (/var/runtime/UserFunction.js:95:12)"",""    at Object.module.exports.load (/var/runtime/UserFunction.js:140:17)""]}
",2021/11/09/[$LATEST]6db3798fd207451d815e275e70c3b817
1636485410469,"START RequestId: c682e523-293f-4f9b-bab0-08f9fb9f933d Version: $LATEST
",2021/11/09/[$LATEST]6db3798fd207451d815e275e70c3b817
1636485413572,"END RequestId: c682e523-293f-4f9b-bab0-08f9fb9f933d
",2021/11/09/[$LATEST]6db3798fd207451d815e275e70c3b817
1636485413572,"REPORT RequestId: c682e523-293f-4f9b-bab0-08f9fb9f933d	Duration: 3102.78 ms	Billed Duration: 3000 ms	Memory Size: 128 MB	Max Memory Used: 19 MB	
",2021/11/09/[$LATEST]6db3798fd207451d815e275e70c3b817
1636485413572,"2021-11-09T19:16:53.572Z c682e523-293f-4f9b-bab0-08f9fb9f933d Task timed out after 3.10 seconds

",2021/11/09/[$LATEST]6db3798fd207451d815e275e70c3b817
1636485414048,"2021-11-09T19:16:54.047Z	undefined	ERROR	Uncaught Exception 	{""errorType"":""ReferenceError"",""errorMessage"":""event is not defined"",""stack"":[""ReferenceError: event is not defined"",""    at Object.<anonymous> (/var/task/index.js:4:1)"",""    at Module._compile (internal/modules/cjs/loader.js:1072:14)"",""    at Object.Module._extensions..js (internal/modules/cjs/loader.js:1101:10)"",""    at Module.load (internal/modules/cjs/loader.js:937:32)"",""    at Function.Module._load (internal/modules/cjs/loader.js:778:12)"",""    at Module.require (internal/modules/cjs/loader.js:961:19)"",""    at require (internal/modules/cjs/helpers.js:92:18)"",""    at _tryRequire (/var/runtime/UserFunction.js:75:12)"",""    at _loadUserApp (/var/runtime/UserFunction.js:95:12)"",""    at Object.module.exports.load (/var/runtime/UserFunction.js:140:17)""]}
",2021/11/09/[$LATEST]6db3798fd207451d815e275e70c3b817
1636485467746,"START RequestId: c682e523-293f-4f9b-bab0-08f9fb9f933d Version: $LATEST
",2021/11/09/[$LATEST]6db3798fd207451d815e275e70c3b817
1636485470872,"END RequestId: c682e523-293f-4f9b-bab0-08f9fb9f933d
",2021/11/09/[$LATEST]6db3798fd207451d815e275e70c3b817
1636485470873,"REPORT RequestId: c682e523-293f-4f9b-bab0-08f9fb9f933d	Duration: 3122.58 ms	Billed Duration: 3000 ms	Memory Size: 128 MB	Max Memory Used: 19 MB	
",2021/11/09/[$LATEST]6db3798fd207451d815e275e70c3b817
1636485470873,"2021-11-09T19:17:50.872Z c682e523-293f-4f9b-bab0-08f9fb9f933d Task timed out after 3.12 seconds

",2021/11/09/[$LATEST]6db3798fd207451d815e275e70c3b817
1636485471288,"2021-11-09T19:17:51.288Z	undefined	ERROR	Uncaught Exception 	{""errorType"":""ReferenceError"",""errorMessage"":""event is not defined"",""stack"":[""ReferenceError: event is not defined"",""    at Object.<anonymous> (/var/task/index.js:4:1)"",""    at Module._compile (internal/modules/cjs/loader.js:1072:14)"",""    at Object.Module._extensions..js (internal/modules/cjs/loader.js:1101:10)"",""    at Module.load (internal/modules/cjs/loader.js:937:32)"",""    at Function.Module._load (internal/modules/cjs/loader.js:778:12)"",""    at Module.require (internal/modules/cjs/loader.js:961:19)"",""    at require (internal/modules/cjs/helpers.js:92:18)"",""    at _tryRequire (/var/runtime/UserFunction.js:75:12)"",""    at _loadUserApp (/var/runtime/UserFunction.js:95:12)"",""    at Object.module.exports.load (/var/runtime/UserFunction.js:140:17)""]}
",2021/11/09/[$LATEST]6db3798fd207451d815e275e70c3b817
1636485590514,"START RequestId: c682e523-293f-4f9b-bab0-08f9fb9f933d Version: $LATEST
",2021/11/09/[$LATEST]1679b9a94b1c4aa6a55e81a65b4e99a4
1636485590949,"END RequestId: c682e523-293f-4f9b-bab0-08f9fb9f933d
",2021/11/09/[$LATEST]1679b9a94b1c4aa6a55e81a65b4e99a4
1636485590949,"REPORT RequestId: c682e523-293f-4f9b-bab0-08f9fb9f933d	Duration: 432.50 ms	Billed Duration: 433 ms	Memory Size: 128 MB	Max Memory Used: 77 MB	Init Duration: 418.38 ms	
",2021/11/09/[$LATEST]1679b9a94b1c4aa6a55e81a65b4e99a4
1636485666913,"START RequestId: 9a37d006-d247-4172-8ac4-30f4a0cdd028 Version: $LATEST
",2021/11/09/[$LATEST]1679b9a94b1c4aa6a55e81a65b4e99a4
